PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
165523,68.18,Yes,100,0,1,0,1,0,1
165353,36,Yes,100,1,0,0,1,0,1
165340,77.05,Yes,98.31,0,1,0,1,0,1
165187,16.67,Yes,100,1,0,0,1,0,1
165341,71.15,Yes,97.92,0,1,0,1,0,1
165469,47.73,No,100,1,0,1,0,0,1
165243,62.22,Yes,95.12,1,0,0,1,0,1
16E170,36,No,97.83,1,0,1,0,0,1
165474,60.53,Yes,100,1,0,0,1,0,1
16E176,38.1,No,100,1,0,1,0,0,1
165233,57.14,Yes,100,1,0,0,1,0,1
165241,33.33,Yes,100,1,0,0,1,0,1
165254,36.84,No,100,1,0,1,0,0,1
165522,35.29,No,100,1,0,1,0,0,1
16E182,60,No,100,1,0,1,0,0,1
165525,41.07,Yes,93.55,1,0,0,1,0,1
165253,63.64,Yes,100,1,0,0,1,0,1
165463,68.25,No,86.79,0,1,1,0,1,0
165364,42.86,Yes,97.96,1,0,0,1,0,1
165467,36,No,100,1,0,1,0,0,1
165363,31.91,Yes,100,1,0,0,1,0,1
165394,33.33,Yes,100,1,0,0,1,0,1
165443,52.73,No,95.74,1,0,1,0,0,1
165373,59.8,No,95.65,1,0,1,0,0,1
165357,49.3,No,96.72,1,0,1,0,0,1
165547,55.17,No,96.15,1,0,1,0,0,1
165592,43.75,No,100,1,0,1,0,0,1
165491,45.24,No,100,1,0,1,0,0,1
165490,63.83,Yes,97.96,1,0,0,1,0,1
165533,49.12,Yes,100,1,0,0,1,0,1
165534,0,Yes,100,1,0,0,1,0,1
165207,9.43,Yes,100,1,0,0,1,0,1
165206,43.33,Yes,96.97,1,0,0,1,0,1
165342,33.33,Yes,100,1,0,0,1,0,1
165318,36.73,No,100,1,0,1,0,0,1
165566,39.62,Yes,100,1,0,0,1,0,1
165456,44.44,No,97.62,1,0,1,0,0,1
165516,67.12,Yes,94.52,0,1,0,1,0,1
165579,41.03,No,100,1,0,1,0,0,1
165521,26.92,No,100,1,0,1,0,0,1
165427,50,Yes,87.5,1,0,0,1,1,0
165398,76.92,Yes,88.46,0,1,0,1,1,0
165306,93.44,Yes,96.15,0,1,0,1,0,1
165172,40.68,No,96,1,0,1,0,0,1
165198,86.57,Yes,87.04,0,1,0,1,1,0
165214,39.76,Yes,90.12,1,0,0,1,0,1
165388,25,No,100,1,0,1,0,0,1
165550,26.58,No,100,1,0,1,0,0,1
165375,63.49,No,100,1,0,1,0,0,1
165325,42.31,Yes,100,1,0,0,1,0,1
165355,55,Yes,100,1,0,0,1,0,1
165190,46.91,Yes,98.77,1,0,0,1,0,1
165408,12,Yes,100,1,0,0,1,0,1
165431,27.27,No,80,1,0,1,0,1,0
165177,44.12,No,98.53,1,0,1,0,0,1
16E263,40.68,Yes,100,1,0,0,1,0,1
165295,56.67,Yes,100,1,0,0,1,0,1
165376,54.55,No,100,1,0,1,0,0,1
16E277,64.29,No,100,1,0,1,0,0,1
165275,83.33,Yes,88,0,1,0,1,1,0
165260,59.57,Yes,95.35,1,0,0,1,0,1
165227,63.93,Yes,98.39,1,0,0,1,0,1
165299,81.08,Yes,88.06,0,1,0,1,1,0
165310,73.5,Yes,95.8,0,1,0,1,0,1
165542,22.03,No,100,1,0,1,0,0,1
165171,80,Yes,98.55,0,1,0,1,0,1
165440,54.35,Yes,100,1,0,0,1,0,1
165331,70.73,Yes,100,0,1,0,1,0,1
165452,54.55,Yes,100,1,0,0,1,0,1
165305,59.65,Yes,96,1,0,0,1,0,1
165247,8.57,Yes,100,1,0,0,1,0,1
165497,12.2,Yes,97.67,1,0,0,1,0,1
165506,72.22,Yes,100,0,1,0,1,0,1
165188,48.21,Yes,100,1,0,0,1,0,1
165382,80.39,Yes,100,0,1,0,1,0,1
165324,69.77,Yes,93.02,0,1,0,1,0,1
165308,62.86,Yes,98.51,1,0,0,1,0,1
165209,37.31,Yes,96.67,1,0,0,1,0,1
165390,71.79,Yes,97.22,0,1,0,1,0,1
165530,60.32,No,100,1,0,1,0,0,1
165433,29.17,No,100,1,0,1,0,0,1
165173,51.22,Yes,100,1,0,0,1,0,1
165541,53.85,No,100,1,0,1,0,0,1
165210,44.44,Yes,100,1,0,0,1,0,1
165438,40,No,100,1,0,1,0,0,1
165267,47.27,No,100,1,0,1,0,0,1
165256,63.04,Yes,100,1,0,0,1,0,1
165313,77.55,Yes,95.65,0,1,0,1,0,1
165191,70.59,Yes,100,0,1,0,1,0,1
165185,55.77,Yes,88.37,1,0,0,1,1,0
165432,51.05,No,96.88,1,0,1,0,0,1
165585,78.57,Yes,90.2,0,1,0,1,0,1
165578,60,Yes,95.45,1,0,0,1,0,1
165458,27.78,Yes,100,1,0,0,1,0,1
165574,31.34,No,100,1,0,1,0,0,1
165554,34.38,No,100,1,0,1,0,0,1
165531,81.63,No,97.87,0,1,1,0,0,1
165444,33.33,Yes,97.06,1,0,0,1,0,1
165352,56.52,Yes,100,1,0,0,1,0,1
165492,50,No,92.5,1,0,1,0,0,1
165205,40.98,Yes,100,1,0,0,1,0,1
165329,44.83,Yes,96.88,1,0,0,1,0,1
165405,40.74,No,97.87,1,0,1,0,0,1
165311,39.58,No,97.87,1,0,1,0,0,1
165219,52.94,No,74.29,1,0,1,0,1,0
165461,42.42,Yes,96.97,1,0,0,1,0,1
165580,59.3,Yes,89.02,1,0,0,1,0,1
165448,50.82,Yes,97.03,1,0,0,1,0,1
165479,26.92,No,97.87,1,0,1,0,0,1
165460,63.64,Yes,80.65,1,0,0,1,1,0
165514,36.92,No,96.3,1,0,1,0,0,1
165268,73.77,No,75,0,1,1,0,1,0
165441,26.67,No,93.24,1,0,1,0,0,1
165507,37.33,No,97.01,1,0,1,0,0,1
165487,20.83,Yes,96.43,1,0,0,1,0,1
165294,45.24,Yes,100,1,0,0,1,0,1
165447,47.5,No,97.22,1,0,1,0,0,1
165290,51.79,No,98.15,1,0,1,0,0,1
165230,64.58,Yes,97.5,0,1,0,1,0,1
165594,48.65,No,97.67,1,0,1,0,0,1
165262,75,Yes,96.43,0,1,0,1,0,1
165481,87.23,No,97.73,0,1,1,0,0,1
165269,52.31,Yes,93.22,1,0,0,1,0,1
165180,43.75,Yes,96.3,1,0,0,1,0,1
165343,44,Yes,100,1,0,0,1,0,1
165488,21.05,No,100,1,0,1,0,0,1
165169,55.56,Yes,95.41,1,0,0,1,0,1
165510,48.57,Yes,96.97,1,0,0,1,0,1
165553,51.47,No,97.01,1,0,1,0,0,1
165372,50.79,Yes,98.39,1,0,0,1,0,1
165368,44.74,No,100,1,0,1,0,0,1
165538,24.1,No,100,1,0,1,0,0,1
165245,31.91,Yes,100,1,0,0,1,0,1
165248,33.33,Yes,100,1,0,0,1,0,1
165424,39.33,No,97.73,1,0,1,0,0,1
165320,33.33,Yes,LNE,1,0,0,1,0,1
165361,61.67,Yes,98.21,1,0,0,1,0,1
165462,37.04,Yes,93.48,1,0,0,1,0,1
165515,6.67,Yes,100,1,0,0,1,0,1
165286,27.14,No,100,1,0,1,0,0,1
165446,29.17,No,95.35,1,0,1,0,0,1
165457,62.96,Yes,100,1,0,0,1,0,1
165235,56.25,Yes,96.67,1,0,0,1,0,1
