countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
13057,2110,49,258773,815,19,0,1,0,1
13059,1238,15,128331,965,12,0,1,0,1
13061,65,2,2834,2294,71,0,1,0,1
13063,3411,85,292256,1167,29,0,1,0,1
13065,131,4,6618,1979,60,0,1,0,1
13067,8370,264,760141,1101,35,0,1,0,1
13069,1049,18,43273,2424,42,0,1,0,1
13071,1360,20,45600,2982,44,0,1,0,1
13073,1205,14,156714,769,9,0,1,0,1
13075,289,4,17270,1673,23,0,1,0,1
13077,1010,16,148509,680,11,0,1,0,1
13079,67,0,12404,540,0,0,1,1,0
13081,337,13,22372,1506,58,0,1,0,1
13083,87,1,16116,540,6,0,1,1,0
13085,202,3,26108,774,11,0,1,0,1
13087,377,8,26404,1428,30,0,1,0,1
13089,9732,188,759297,1282,25,0,1,0,1
13091,167,2,20605,810,10,0,1,0,1
13093,224,14,13390,1673,105,0,1,0,1
13095,2305,158,87956,2621,180,0,1,0,1
13097,1733,41,146343,1184,28,0,1,0,1
13099,321,31,10190,3150,304,0,1,0,1
13101,208,0,4006,5192,0,0,1,1,0
13103,400,1,64296,622,2,0,1,1,0
13105,234,0,19194,1219,0,0,1,1,0
13107,259,3,22646,1144,13,0,1,0,1
13109,93,0,10654,873,0,0,1,1,0
13111,190,2,26188,726,8,0,1,0,1
13113,654,20,114421,572,17,0,1,0,1
13115,860,15,98498,873,15,0,1,0,1
13117,1372,16,244252,562,7,0,1,1,0
13119,292,3,23349,1251,13,0,1,0,1
13121,13117,339,1063937,1233,32,0,1,0,1
13123,354,2,31369,1129,6,0,1,1,0
13125,17,0,2971,572,0,0,1,1,0
13127,1834,12,85292,2150,14,0,1,0,1
13129,679,19,57963,1171,33,0,1,0,1
13131,286,4,24633,1161,16,0,1,0,1
13133,161,10,18324,879,55,0,1,0,1
13135,13444,198,936250,1436,21,0,1,0,1
13137,854,41,45328,1884,90,0,1,0,1
13139,4394,66,204441,2149,32,0,1,0,1
13141,242,33,8457,2862,390,0,1,0,1
13143,134,6,29792,450,20,1,0,0,1
13145,504,13,35236,1430,37,0,1,0,1
13147,152,0,26205,580,0,0,1,1,0
13149,101,3,11923,847,25,0,1,0,1
13151,2163,34,234561,922,14,0,1,0,1
13153,1217,33,157863,771,21,0,1,0,1
13155,109,1,9416,1158,11,0,1,0,1
13157,618,12,72977,847,16,0,1,0,1
13159,102,1,14219,717,7,0,1,0,1
13161,210,3,15115,1389,20,0,1,0,1
13163,284,5,15362,1849,33,0,1,0,1
13165,189,14,8676,2178,161,0,1,0,1
13167,153,2,9643,1587,21,0,1,0,1
13169,184,1,28735,640,3,0,1,1,0
13171,165,7,19077,865,37,0,1,0,1
13173,181,3,10423,1737,29,0,1,0,1
13175,477,1,47546,1003,2,0,1,1,0
13177,448,22,29992,1494,73,0,1,0,1
13179,363,2,61435,591,3,0,1,1,0
13181,86,2,7921,1086,25,0,1,0,1
13183,81,1,19559,414,5,1,0,1,0
13185,2211,19,117406,1883,16,0,1,0,1
13187,204,4,33610,607,12,0,1,0,1
13189,197,8,21312,924,38,0,1,0,1
13191,102,1,14378,709,7,0,1,0,1
13193,150,10,12947,1159,77,0,1,0,1
13195,225,4,29880,753,13,0,1,0,1
13197,111,3,8359,1328,36,0,1,0,1
13199,282,4,21167,1332,19,0,1,0,1
13201,72,0,5718,1259,0,0,1,1,0
13205,518,41,21863,2369,188,0,1,0,1
13207,300,20,27578,1088,73,0,1,0,1
13209,78,0,9172,850,0,0,1,1,0
13211,107,0,19276,555,0,0,1,1,0
13213,382,2,40096,953,5,0,1,1,0
13215,3382,64,195769,1728,33,0,1,0,1
13217,1177,19,111744,1053,17,0,1,0,1
13219,289,14,40280,717,35,0,1,0,1
13221,137,7,15259,898,46,0,1,0,1
13223,1043,16,168667,618,9,0,1,0,1
13225,195,9,27546,708,33,0,1,0,1
13227,166,5,32591,509,15,0,1,0,1
13229,312,5,19465,1603,26,0,1,0,1
13231,140,3,18962,738,16,0,1,0,1
13233,415,2,42613,974,5,0,1,1,0
13235,70,2,11137,629,18,0,1,0,1
13237,272,13,22119,1230,59,0,1,0,1
13239,24,1,2299,1044,43,0,1,0,1
13241,118,3,17137,689,18,0,1,0,1
13243,223,25,6778,3290,369,0,1,0,1
13245,2208,63,202518,1090,31,0,1,0,1
13247,865,11,90896,952,12,0,1,0,1
13249,31,1,5257,590,19,0,1,0,1
13251,135,8,13966,967,57,0,1,0,1
13253,71,2,8090,878,25,0,1,0,1
13255,652,33,66703,977,49,0,1,0,1
13257,402,6,25925,1551,23,0,1,0,1
13259,233,4,6621,3519,60,0,1,0,1
13261,665,52,29524,2252,176,0,1,0,1
13263,106,3,6195,1711,48,0,1,0,1
13265,2,0,1537,130,0,1,0,1,0
13267,263,0,25286,1040,0,0,1,1,0
13269,52,2,8020,648,25,0,1,0,1
13271,201,3,15860,1267,19,0,1,0,1
13273,260,29,8531,3048,340,0,1,0,1
13275,692,33,44451,1557,74,0,1,0,1
13277,1108,29,40644,2726,71,0,1,0,1
13279,402,6,26830,1498,22,0,1,0,1
13281,84,1,12037,698,8,0,1,0,1
13283,57,2,6901,826,29,0,1,0,1
13285,1866,43,69922,2669,61,0,1,0,1
13287,214,18,7985,2680,225,0,1,0,1
13289,55,1,8120,677,12,0,1,0,1
13291,136,4,24511,555,16,0,1,0,1
13293,416,45,26320,1581,171,0,1,0,1
13295,410,14,69761,588,20,0,1,0,1
13297,645,32,94593,682,34,0,1,0,1
13299,844,17,35734,2362,48,0,1,0,1
13301,44,0,5254,837,0,0,1,1,0
13303,226,1,20374,1109,5,0,1,1,0
13305,336,0,29927,1123,0,0,1,1,0
13307,35,2,2607,1343,77,0,1,0,1
13309,76,0,7855,968,0,0,1,1,0
13311,213,5,30798,692,16,0,1,0,1
13313,2246,22,104628,2147,21,0,1,0,1
13315,146,15,8635,1691,174,0,1,0,1
13317,144,3,9777,1473,31,0,1,0,1
13319,133,9,8954,1485,101,0,1,0,1
13321,374,22,20247,1847,109,0,1,0,1
0,25,1,0,,,0,1,0,1
15001,113,0,201513,56,0,1,0,1,0
15003,1065,17,974563,109,2,1,0,1,0
15005,0,0,86,0,0,1,0,1,0
15007,43,0,72293,59,0,1,0,1,0
15009,135,6,167417,81,4,1,0,1,0
0,0,0,0,,,0,1,0,1
16001,5723,32,481587,1188,7,0,1,1,0
16003,13,0,4294,303,0,1,0,1,0
16005,186,1,87808,212,1,1,0,1,0
16007,3,0,6125,49,0,1,0,1,0
16009,35,0,9298,376,0,1,0,1,0
16011,107,1,46811,229,2,1,0,1,0
16013,556,5,23021,2415,22,0,1,0,1
16015,15,0,7831,192,0,1,0,1,0
16017,90,0,45739,197,0,1,0,1,0
16019,271,1,119062,228,1,1,0,1,0
16021,10,0,12245,82,0,1,0,1,0
16023,0,0,2597,0,0,1,0,1,0
16025,1,0,1106,90,0,1,0,1,0
16027,2986,19,229849,1299,8,0,1,0,1
16029,21,0,7155,294,0,1,0,1,0
16031,356,1,24030,1481,4,0,1,1,0
16033,0,0,845,0,0,1,0,1,0
16035,7,0,8756,80,0,1,0,1,0
16037,6,0,4315,139,0,1,0,1,0
16039,120,2,27511,436,7,1,0,0,1
16041,35,0,13876,252,0,1,0,1,0
16043,22,0,13099,168,0,1,0,1,0
16045,94,0,18112,519,0,0,1,1,0
16047,95,1,15179,626,7,0,1,1,0
16049,16,0,16667,96,0,1,0,1,0
16051,44,0,29871,147,0,1,0,1,0
16053,349,6,24412,1430,25,0,1,0,1
16055,977,1,165697,590,1,0,1,1,0
16057,40,0,40108,100,0,1,0,1,0
